ww	っ	w
ee	っ	e
rr	っ	r
tt	っ	t
aa	っ	a
ss	っ	s
dd	っ	d
ff	っ	f
gg	っ	g
zz	っ	z
xx	っ	x
cc	っ	c
vv	っ	v
bb	っ	b
qq	っ	q

j	あ
i	い
k	う
o	え
l	お
y	や
h	ゆ
n	よ
;	ん
m	っ
,	、
.	。
/	ー
p	ー
-	ー
z.	…

fj	か
fi	き
fk	く
fo	け
fl	こ
fy	きゃ
fh	きゅ
fn	きょ
fm	かー
fu	きー
f,	くー
fp	けー
f;	こー

sj	さ
si	し
sk	す
so	せ
sl	そ
sy	しゃ
sh	しゅ
sn	しょ
sm	さー
su	しー
s,	すー
sp	せー
s;	そー

dj	た
di	ち
dk	つ
do	て
dl	と
dy	ちゃ
dh	ちゅ
dn	ちょ
dm	たー
du	ちー
d,	つー
dp	てー
d;	とー

aj	な
ai	に
ak	ぬ
ao	ね
al	の
ay	にゃ
ah	にゅ
an	にょ
am	なー
au	にー
a,	ぬー
ap	ねー
a;	のー

gj	は
gi	ひ
gk	ふ
go	へ
gl	ほ
gy	ひゃ
gh	ひゅ
gn	ひょ
g,	ふう
gm	はー
gu	ひー
g,	ふー
gp	へー
g;	ほー

zj	ま
zi	み
zk	む
zo	め
zl	も
zy	みゃ
zh	みゅ
zn	みょ
zm	まー
zu	みー
z,	むー
zp	めー
z;	もー

vj	ら
vi	り
vk	る
vo	れ
vl	ろ
vy	りゃ
vh	りゅ
vn	りょ
vm	らー
vu	りー
v,	るー
vp	れー
v;	ろー

rj	が
ri	ぎ
rk	ぐ
ro	げ
rl	ご
ry	ぎゃ
rh	ぎゅ
rn	ぎょ
rm	がー
ru	ぎー
r,	ぐー
rp	げー
r;	ごー

wj	ざ
wi	じ
wk	ず
wo	ぜ
wl	ぞ
wy	じゃ
wh	じゅ
wn	じょ
wm	ざー
wu	じー
w,	ずー
wp	ぜー
w;	ぞー

ej	だ
ei	でぃ
ek	づ
eo	で
el	ど
ey	ぢゃ
eh	でゅ
en	ぢょ
em	だー
eu	でぃー
e,	どぅ
ep	でー
e;	どー

bj	ば
bi	び
bk	ぶ
bo	べ
bl	ぼ
by	びゃ
bh	びゅ
bn	びょ
bm	ばー
bu	びー
b,	ぶー
bp	べー
b;	ぼー

tj	ぱ
ti	ぴ
tk	ぷ
to	ぺ
tl	ぽ
ty	ぴゃ
th	ぴゅ
tn	ぴょ
tm	ぱー
tu	ぴー
t,	ぷー
tp	ぺー
t;	ぽー

xj	わ
xi	うぃ
xo	うぇ
xl	を
xm	わー
xu	うぃー
xp	うぇー
x;	うぉー

cj	ぁ
ci	ぃ
ck	ぅ
co	ぇ
cl	ぉ
cy	ゃ
ch	ゅ
cn	ょ
cu	っ
c/	・
c.	…

awi	うぃ
awo	うぇ
awl	うぉ

atj	つぁ
ati	てぃ
atk	とぅ
ato	つぇ
atl	つぉ
aty	ちゃ
ath	てゅ
atn	ちょ
atm	つぁー
atu	てぃー
at,	とぅー
atp	つぇー
at;	つぉー

asj	しゃ
asi	し
ask	しゅ
aso	しぇ
asl	しょ
asy	しゃ
ash	しゅ
asn	しょ
asm	しゃー
asu	しー
as,	しゅー
asp	しぇー
as;	しょー

adi	ぢ
adk	どぅ
ady	ぢゃ
adh	ぢゅ
adn	ぢょ
adu	ぢー
ad,	どぅー

afj	ふぁ
afi	ふぃ
afk	ふゅー
afo	ふぇ
afl	ふぉ
afh	ふゅ
afm	ふぁー
afu	ふぃー
af,	ふゅー
afp	ふぇー
af;	ふぉー

agj	じゃ
agi	じ
agk	じゅ
ago	じぇ
agl	じょ
agy	じゃ
agh	じゅ
agn	じょ
agm	じゃー
agu	じー
ag,	じゅー
agp	じぇー
ag;	じょー

acj	ちゃ
aci	ち
ack	ちゅ
aco	ちぇ
acl	ちょ
acy	ちゃ
ach	ちゅ
acn	ちょ
acm	ちゃー
acu	ちー
ac,	ちゅー
acp	ちぇー
ac;	ちょー

avj	ヴぁ
avi	ヴぃ
avk	ヴ
avo	ヴぇ
avl	ヴぉ
avh	びゅー
av,	びゅー
avm	ヴぁー
avu	ヴぃー
av,	びゅー
avp	ヴぇー
av;	ヴぉー
